# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
ncRNA	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	8645074	8654646	-	XR_005002060.1			uncharacterized LOC118766150	LOC118766150	118766150		152	152	
gene	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	8726326	8737793	-					LOC118766151	118766151		11468		
ncRNA	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	8726326	8737793	-	XR_005002061.1			uncharacterized LOC118766151	LOC118766151	118766151		74	74	
gene	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	9249716	9266395	-					LOC118765777	118765777		16680		
ncRNA	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	9249716	9266395	-	XR_005001658.1			uncharacterized LOC118765777	LOC118765777	118765777		102	102	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	10486028	10729779	-					LOC115213369	115213369		243752		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	10486028	10729779	-	XM_029782317.2		XP_029638177.1	uncharacterized LOC115213369	LOC115213369	115213369		1035	1035	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	10486212	10728286	-	XP_029638177.1		XM_029782317.2	uncharacterized protein LOC115213369	LOC115213369	115213369		462	153	
gene	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	10878314	10880178	-					LOC118765855	118765855		1865		
ncRNA	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	10878314	10880178	-	XR_005001755.1			uncharacterized LOC118765855	LOC118765855	118765855		415	415	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	10881363	10892897	-					LOC115214278	115214278		11535		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	10881363	10892897	-	XM_029783426.2		XP_029639286.1	mitochondrial intermembrane space import and assembly protein 40-like	LOC115214278	115214278		1767	1767	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	10882578	10892780	-	XP_029639286.1		XM_029783426.2	mitochondrial intermembrane space import and assembly protein 40-like	LOC115214278	115214278		435	144	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	10901016	10921702	+					LOC115212858	115212858		20687		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	10901016	10921702	+	XM_029781645.2		XP_029637505.1	protein arginine N-methyltransferase 7	LOC115212858	115212858		2186	2186	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	10901069	10921657	+	XP_029637505.1		XM_029781645.2	protein arginine N-methyltransferase 7	LOC115212858	115212858		2088	695	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	10927035	10942427	+					LOC115218108	115218108		15393		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	10927035	10942427	+	XM_029787898.2		XP_029643758.1	mitochondrial import inner membrane translocase subunit Tim17-B	LOC115218108	115218108		1330	1330	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	10927137	10941700	+	XP_029643758.1		XM_029787898.2	mitochondrial import inner membrane translocase subunit Tim17-B	LOC115218108	115218108		501	166	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	10955566	10966029	+					LOC118765877	118765877		10464		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	10955566	10966029	+	XM_036508711.1		XP_036364604.1	uncharacterized LOC118765877, transcript variant X3	LOC118765877	118765877		1329	1329	
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	10955566	10966029	+	XM_036508669.1		XP_036364562.1	uncharacterized LOC118765877, transcript variant X2	LOC118765877	118765877		665	665	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	10955808	10966008	+	XP_036364562.1		XM_036508669.1	uncharacterized protein LOC118765877 isoform X2	LOC118765877	118765877		402	133	
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	10961367	10966029	+	XM_036508629.1		XP_036364522.1	uncharacterized LOC118765877, transcript variant X1	LOC118765877	118765877		628	628	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	10961554	10966008	+	XP_036364522.1		XM_036508629.1	uncharacterized protein LOC118765877 isoform X1	LOC118765877	118765877		420	139	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	10963996	10966008	+	XP_036364604.1		XM_036508711.1	uncharacterized protein LOC118765877 isoform X3	LOC118765877	118765877		396	131	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	10969619	11061411	-					LOC115217190	115217190		91793		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	10969619	11061411	-	XM_029786827.2		XP_029642687.1	two pore calcium channel protein 1-like	LOC115217190	115217190		6314	6314	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	10972917	11060780	-	XP_029642687.1		XM_029786827.2	two pore calcium channel protein 1-like	LOC115217190	115217190		2385	794	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	11083040	11125237	-					LOC115218774	115218774		42198		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	11083040	11125237	-	XM_029788705.2		XP_029644565.1	tubulin alpha-8 chain-like	LOC115218774	115218774		3973	3973	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	11084853	11124460	-	XP_029644565.1		XM_029788705.2	tubulin alpha-8 chain-like	LOC115218774	115218774		1383	460	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	11141010	11150716	-					LOC115213788	115213788		9707		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	11141010	11150716	-	XM_029782637.2		XP_029638497.1	RNA polymerase II-associated protein 1-like	LOC115213788	115213788		4333	4333	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	11141095	11150587	-	XP_029638497.1		XM_029782637.2	RNA polymerase II-associated protein 1-like	LOC115213788	115213788		4119	1372	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	11154263	11163769	-					LOC115214753	115214753		9507		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	11154263	11163769	-	XM_029783779.2		XP_029639639.1	ADP-ribosylation factor-like protein 6-interacting protein 4, transcript variant X1	LOC115214753	115214753		977	977	
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	11154263	11163487	-	XM_036508872.1		XP_036364765.1	ADP-ribosylation factor-like protein 6-interacting protein 4, transcript variant X2	LOC115214753	115214753		651	651	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	11154317	11163635	-	XP_029639639.1		XM_029783779.2	ADP-ribosylation factor-like protein 6-interacting protein 4 isoform X1	LOC115214753	115214753		789	262	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	11154317	11163484	-	XP_036364765.1		XM_036508872.1	ADP-ribosylation factor-like protein 6-interacting protein 4 isoform X2	LOC115214753	115214753		594	197	
gene	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	11176090	11181373	-					LOC118765972	118765972		5284		
ncRNA	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	11176090	11181373	-	XR_005001891.1			uncharacterized LOC118765972	LOC118765972	118765972		1740	1740	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	11202122	11230842	+					LOC115212141	115212141		28721		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	11202122	11230842	+	XM_029780985.2		XP_029636845.1	elongation factor Tu	LOC115212141	115212141		1658	1658	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	11202226	11230674	+	XP_029636845.1		XM_029780985.2	elongation factor Tu	LOC115212141	115212141		1386	461	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	11238701	11268475	+					LOC115211222	115211222		29775		
misc_RNA		GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	11238701	11268475	+	XR_005001909.1			zinc finger protein 236-like, transcript variant X2	LOC115211222	115211222		7575	7575	
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	11238701	11259928	+	XM_029780100.2		XP_029635960.1	zinc finger protein 236-like, transcript variant X1	LOC115211222	115211222		8237	8237	
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	11239362	11259928	+	XM_036509018.1		XP_036364911.1	zinc finger protein 236-like, transcript variant X3	LOC115211222	115211222		8083	8083	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	11252486	11259103	+	XP_029635960.1		XM_029780100.2	zinc finger protein 236-like	LOC115211222	115211222		6618	2205	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	11252486	11259103	+	XP_036364911.1		XM_036509018.1	zinc finger protein 236-like	LOC115211222	115211222		6618	2205	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	11267638	11269275	-					LOC115215447	115215447		1638		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	11267638	11269275	-	XM_029784613.2		XP_029640473.1	60S ribosomal protein L21-like	LOC115215447	115215447		803	803	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	11267815	11268297	-	XP_029640473.1		XM_029784613.2	60S ribosomal protein L21-like	LOC115215447	115215447		483	160	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	11277001	11277694	+					LOC115217424	115217424		694		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	11277001	11277694	+	XM_036509261.1		XP_036365154.1	60S ribosomal protein L21-like	LOC115217424	115217424		694	694	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	11277022	11277504	+	XP_036365154.1		XM_036509261.1	60S ribosomal protein L21-like	LOC115217424	115217424		483	160	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	11286925	11333628	-					LOC115218381	115218381		46704		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	11286925	11333628	-	XM_029788163.2		XP_029644023.1	kinesin-like protein KIN-14C	LOC115218381	115218381		2388	2388	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	11287095	11333588	-	XP_029644023.1		XM_029788163.2	kinesin-like protein KIN-14C	LOC115218381	115218381		2178	725	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	11358195	11390757	+					LOC115217376	115217376		32563		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	11358195	11390757	+	XM_036509334.1		XP_036365227.1	purine nucleoside phosphorylase	LOC115217376	115217376		1207	1207	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	11358316	11389939	+	XP_036365227.1		XM_036509334.1	purine nucleoside phosphorylase	LOC115217376	115217376		861	286	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	11403062	11413023	+					LOC118766109	118766109		9962		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	11403062	11413023	+	XM_036509385.1		XP_036365278.1	uncharacterized LOC118766109	LOC118766109	118766109		632	632	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	11403121	11413023	+	XP_036365278.1		XM_036509385.1	uncharacterized protein LOC118766109	LOC118766109	118766109		573	190	
gene	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	11426976	11449616	+					LOC118766153	118766153		22641		
ncRNA	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	11426976	11449616	+	XR_005002062.1			uncharacterized LOC118766153, transcript variant X1	LOC118766153	118766153		519	519	
ncRNA	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	11426976	11430661	+	XR_005002068.1			uncharacterized LOC118766153, transcript variant X2	LOC118766153	118766153		682	682	
gene	tRNA	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	11923687	11923758	-					Trnaq-cug	115221269		72		
tRNA		GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	11923687	11923758	-				tRNA-Gln	Trnaq-cug	115221269		72		anticodon=CTG
gene	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	12145596	12162627	+					LOC118766163	118766163		17032		
ncRNA	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	12145596	12162627	+	XR_005002073.1			uncharacterized LOC118766163	LOC118766163	118766163		99	99	
gene	snRNA	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	12165721	12165824	-					LOC115220325	115220325		104		
ncRNA	snRNA	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	12165721	12165824	-	XR_003882507.1			U6 spliceosomal RNA	LOC115220325	115220325		104	104	
gene	pseudogene	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	12364987	12365104	+					LOC115220807	115220807		118		pseudo
gene	pseudogene	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	12365870	12365988	+					LOC115220754	115220754		119		pseudo
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	12519705	12555720	-					LOC115217575	115217575		36016		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	12519705	12555720	-	XM_036509411.1		XP_036365304.1	BTB/POZ domain-containing protein kctd15-like	LOC115217575	115217575		1736	1736	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	12520766	12555720	-	XP_036365304.1		XM_036509411.1	BTB/POZ domain-containing protein kctd15-like	LOC115217575	115217575		675	224	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	14220977	14257144	-					LOC115213018	115213018		36168		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	14220977	14257144	-	XM_029781920.2		XP_029637780.1	small nuclear ribonucleoprotein-associated protein B, transcript variant X1	LOC115213018	115213018		998	998	
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	14220977	14256824	-	XM_029781928.2		XP_029637788.1	small nuclear ribonucleoprotein-associated protein B, transcript variant X2	LOC115213018	115213018		968	968	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	14221140	14256820	-	XP_029637788.1		XM_029781928.2	small nuclear ribonucleoprotein-associated protein B isoform X2	LOC115213018	115213018		801	266	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	14221140	14256820	-	XP_029637780.1		XM_029781920.2	small nuclear ribonucleoprotein-associated protein B isoform X1	LOC115213018	115213018		816	271	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	14418490	14445591	+					LOC115215870	115215870		27102		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	14418490	14445591	+	XM_029785217.2		XP_029641077.1	uncharacterized LOC115215870	LOC115215870	115215870		1488	1488	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	14418739	14445465	+	XP_029641077.1		XM_029785217.2	uncharacterized protein LOC115215870	LOC115215870	115215870		1113	370	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	14485333	14518370	-					LOC118766232	118766232		33038		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	14485333	14518370	-	XM_036509550.1		XP_036365443.1	uncharacterized LOC118766232	LOC118766232	118766232		4571	4571	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	14487211	14518239	-	XP_036365443.1		XM_036509550.1	uncharacterized protein LOC118766232	LOC118766232	118766232		2562	853	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	14534662	14583540	+					LOC115217117	115217117		48879		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	14534662	14583540	+	XM_029786721.2		XP_029642581.1	nose resistant to fluoxetine protein 6-like	LOC115217117	115217117		2715	2715	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	14535034	14583360	+	XP_029642581.1		XM_029786721.2	nose resistant to fluoxetine protein 6-like	LOC115217117	115217117		2163	720	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	14608236	14674705	+					LOC115218554	115218554		66470		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	14608236	14674705	+	XM_029788454.2		XP_029644314.1	nose resistant to fluoxetine protein 6-like	LOC115218554	115218554		4628	4628	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	14608507	14672598	+	XP_029644314.1		XM_029788454.2	nose resistant to fluoxetine protein 6-like	LOC115218554	115218554		2250	749	
