chrom_zdna,zdna_start,zdna_end,score,chrom_promoter,promoter_start,promoter_end,gene_symbol,strand,gene_name
NC_043022.1,6017060,6017104,77.0,NC_043022.1,6016882,6017881,LOC118768031,-,uncharacterized LOC118768031
NC_043022.1,6295015,6295027,40.0,NC_043022.1,6294932,6295931,LOC118767998,+,uncharacterized LOC118767998
NC_043022.1,6323284,6323315,57.5,NC_043022.1,6322414,6323413,LOC115224902,+,uncharacterized LOC115224902
NC_043022.1,6354960,6354986,39.0,NC_043022.1,6354706,6355705,LOC115224896,+,uncharacterized LOC115224896
NC_043022.1,6382724,6382741,124.5,NC_043022.1,6381776,6382775,LOC118768025,+,uncharacterized LOC118768025
NC_043022.1,6426259,6426283,36.0,NC_043022.1,6426233,6427232,LOC115224906,+,cornifelin homolog
NC_043022.1,6426502,6426516,21.0,NC_043022.1,6426233,6427232,LOC115224906,+,cornifelin homolog
NC_043022.1,6426550,6426570,151.0,NC_043022.1,6426233,6427232,LOC115224906,+,cornifelin homolog
NC_043022.1,6426647,6426662,22.5,NC_043022.1,6426233,6427232,LOC115224906,+,cornifelin homolog
NC_043022.1,6426687,6426703,46.0,NC_043022.1,6426233,6427232,LOC115224906,+,cornifelin homolog
NC_043022.1,6426705,6426717,18.0,NC_043022.1,6426233,6427232,LOC115224906,+,cornifelin homolog
NC_043022.1,6426745,6426759,43.0,NC_043022.1,6426233,6427232,LOC115224906,+,cornifelin homolog
NC_043022.1,6426761,6426776,44.5,NC_043022.1,6426233,6427232,LOC115224906,+,cornifelin homolog
NC_043022.1,6426821,6426835,43.0,NC_043022.1,6426233,6427232,LOC115224906,+,cornifelin homolog
NC_043022.1,6426840,6426855,22.5,NC_043022.1,6426233,6427232,LOC115224906,+,cornifelin homolog
NC_043022.1,6426860,6426888,42.0,NC_043022.1,6426233,6427232,LOC115224906,+,cornifelin homolog
NC_043022.1,6426896,6426911,22.5,NC_043022.1,6426233,6427232,LOC115224906,+,cornifelin homolog
NC_043022.1,6426934,6426945,38.5,NC_043022.1,6426233,6427232,LOC115224906,+,cornifelin homolog
NC_043022.1,6534934,6535011,225.5,NC_043022.1,6534925,6535924,LOC115224665,-,"transmembrane protein 201-like, transcript variant X3"
NC_043022.1,6535610,6535628,27.0,NC_043022.1,6534925,6535924,LOC115224665,-,"transmembrane protein 201-like, transcript variant X3"
NC_043022.1,6535902,6535914,18.0,NC_043022.1,6534925,6535924,LOC115224665,-,"transmembrane protein 201-like, transcript variant X3"
NC_043022.1,6841094,6841111,25.5,NC_043022.1,6841070,6842069,LOC115224784,+,"uncharacterized LOC115224784, transcript variant X2"
NC_043022.1,6841113,6841133,52.0,NC_043022.1,6841070,6842069,LOC115224784,+,"uncharacterized LOC115224784, transcript variant X2"
NC_043022.1,6841452,6841469,91.5,NC_043022.1,6841070,6842069,LOC115224784,+,"uncharacterized LOC115224784, transcript variant X2"
NC_043022.1,7257636,7257650,21.0,NC_043022.1,7257288,7258287,LOC115224916,-,5S ribosomal RNA
NC_043022.1,7603003,7603023,118.0,NC_043022.1,7602981,7603980,LOC115224753,+,"inactive tyrosine-protein kinase transmembrane receptor ROR1, transcript variant X1"
NC_043022.1,7603051,7603066,22.5,NC_043022.1,7602981,7603980,LOC115224753,+,"inactive tyrosine-protein kinase transmembrane receptor ROR1, transcript variant X1"
NC_043022.1,7603067,7603098,46.5,NC_043022.1,7602981,7603980,LOC115224753,+,"inactive tyrosine-protein kinase transmembrane receptor ROR1, transcript variant X1"
NC_043022.1,7603474,7603487,19.5,NC_043022.1,7602981,7603980,LOC115224753,+,"inactive tyrosine-protein kinase transmembrane receptor ROR1, transcript variant X1"
NC_043022.1,7603769,7603789,30.0,NC_043022.1,7602981,7603980,LOC115224753,+,"inactive tyrosine-protein kinase transmembrane receptor ROR1, transcript variant X1"
NC_043022.1,8954277,8954294,36.5,NC_043022.1,8954203,8955202,LOC118768039,-,uncharacterized LOC118768039
NC_043022.1,9245699,9245717,27.0,NC_043022.1,9245415,9246414,LOC115224894,+,protein phosphatase 1E
NC_043022.1,9246015,9246035,30.0,NC_043022.1,9245415,9246414,LOC115224894,+,protein phosphatase 1E
NC_043022.1,9434403,9434439,54.0,NC_043022.1,9433822,9434821,LOC115224724,-,"X-box-binding protein 1, transcript variant X2"
NC_043022.1,9514067,9514079,18.0,NC_043022.1,9513844,9514843,LOC115224739,+,"epidermal growth factor receptor substrate 15-like 1, transcript variant X4"
NC_043022.1,9514125,9514137,18.0,NC_043022.1,9513844,9514843,LOC115224739,+,"epidermal growth factor receptor substrate 15-like 1, transcript variant X4"
NC_043022.1,9519491,9519503,62.0,NC_043022.1,9518856,9519855,LOC118768017,+,uncharacterized LOC118768017
NC_043022.1,9519505,9519522,36.5,NC_043022.1,9518856,9519855,LOC118768017,+,uncharacterized LOC118768017
NC_043022.1,9702658,9702678,30.0,NC_043022.1,9702296,9703295,LOC118768015,-,Ig-like V-type domain-containing protein FAM187A
NC_043022.1,9702923,9702940,25.5,NC_043022.1,9702296,9703295,LOC118768015,-,Ig-like V-type domain-containing protein FAM187A
NC_043022.1,9729008,9729019,38.5,NC_043022.1,9728919,9729918,LOC118768016,+,uncharacterized LOC118768016
NC_043022.1,9934119,9934132,41.5,NC_043022.1,9934033,9935032,LOC115224832,-,"cytochrome c oxidase subunit 6A2, mitochondrial"
NC_043022.1,9935019,9935033,21.0,NC_043022.1,9934033,9935032,LOC115224832,-,"cytochrome c oxidase subunit 6A2, mitochondrial"
NC_043022.1,9950595,9950607,18.0,NC_043022.1,9950312,9951311,LOC115224668,+,methionine adenosyltransferase 2 subunit beta-like
NC_043022.1,9950610,9950625,33.5,NC_043022.1,9950312,9951311,LOC115224668,+,methionine adenosyltransferase 2 subunit beta-like
NC_043022.1,10052711,10052722,38.5,NC_043022.1,10052579,10053578,LOC115224778,-,"methionine adenosyltransferase 2 subunit beta, transcript variant X2"
NC_043022.1,10243440,10243452,84.0,NC_043022.1,10243435,10244434,LOC115224771,-,"solute carrier family 2, facilitated glucose transporter member 3-like, transcript variant X1"
NC_043022.1,10243896,10243916,30.0,NC_043022.1,10243435,10244434,LOC115224771,-,"solute carrier family 2, facilitated glucose transporter member 3-like, transcript variant X1"
NC_043022.1,10244240,10244254,76.0,NC_043022.1,10243435,10244434,LOC115224771,-,"solute carrier family 2, facilitated glucose transporter member 3-like, transcript variant X1"
NC_043022.1,10422681,10422692,49.5,NC_043022.1,10422526,10423525,LOC115224731,-,"E3 ubiquitin-protein ligase MIB2, transcript variant X1"
NC_043022.1,10785221,10785240,39.5,NC_043022.1,10784881,10785880,LOC118768003,+,uncharacterized LOC118768003
NC_043022.1,10785807,10785818,16.5,NC_043022.1,10784881,10785880,LOC118768003,+,uncharacterized LOC118768003
NC_043022.1,10785838,10785851,19.5,NC_043022.1,10784881,10785880,LOC118768003,+,uncharacterized LOC118768003
NC_043022.1,11632867,11632878,27.5,NC_043022.1,11632272,11633271,LOC118760862,+,"uncharacterized LOC118760862, transcript variant X4"
NC_043022.1,11632934,11632964,45.0,NC_043022.1,11632272,11633271,LOC118760862,+,"uncharacterized LOC118760862, transcript variant X4"
NC_043022.1,11674322,11674342,30.0,NC_043022.1,11673398,11674397,LOC115224789,+,"uncharacterized LOC115224789, transcript variant X2"
NC_043022.1,11768540,11768554,21.0,NC_043022.1,11768192,11769191,LOC115224673,-,chloride transport protein 6-like
NC_043022.1,11768680,11768696,24.0,NC_043022.1,11768192,11769191,LOC115224673,-,chloride transport protein 6-like
NC_043022.1,11768726,11768743,25.5,NC_043022.1,11768192,11769191,LOC115224673,-,chloride transport protein 6-like
NC_043022.1,11768765,11768778,30.5,NC_043022.1,11768192,11769191,LOC115224673,-,chloride transport protein 6-like
NC_043022.1,11768874,11768886,18.0,NC_043022.1,11768192,11769191,LOC115224673,-,chloride transport protein 6-like
NC_043022.1,11912938,11912952,21.0,NC_043022.1,11912713,11913712,LOC115224799,+,cleavage stimulation factor subunit 1-like
NC_043022.1,12150238,12150251,63.5,NC_043022.1,12149780,12150779,Trnat-ugu,+,tRNA-Thr
NC_043022.1,12236998,12237010,40.0,NC_043022.1,12236795,12237794,LOC118768050,-,uncharacterized LOC118768050
NC_043022.1,12340512,12340530,27.0,NC_043022.1,12340490,12341489,LOC115224676,+,proline-rich extensin-like protein EPR1
NC_043022.1,12499453,12499465,18.0,NC_043022.1,12499206,12500205,LOC118768060,-,uncharacterized LOC118768060
NC_043022.1,12499728,12499742,21.0,NC_043022.1,12499206,12500205,LOC118768060,-,uncharacterized LOC118768060
NC_043022.1,12734064,12734075,38.5,NC_043022.1,12733878,12734877,LOC115224733,+,neprilysin-1-like
NC_043022.1,12762650,12762664,32.0,NC_043022.1,12762579,12763578,LOC115224732,-,"endothelin-converting enzyme homolog, transcript variant X6"
NC_043022.1,12762871,12762889,27.0,NC_043022.1,12762579,12763578,LOC115224732,-,"endothelin-converting enzyme homolog, transcript variant X6"
NC_043022.1,12762891,12762908,25.5,NC_043022.1,12762579,12763578,LOC115224732,-,"endothelin-converting enzyme homolog, transcript variant X6"
NC_043022.1,13289225,13289242,69.5,NC_043022.1,13289010,13290009,LOC115224839,-,"msx2-interacting protein, transcript variant X3"
NC_043022.1,13289857,13289871,65.0,NC_043022.1,13289010,13290009,LOC115224839,-,"msx2-interacting protein, transcript variant X3"
NC_043022.1,13289925,13289951,160.0,NC_043022.1,13289010,13290009,LOC115224839,-,"msx2-interacting protein, transcript variant X3"
NC_043022.1,13289960,13289971,38.5,NC_043022.1,13289010,13290009,LOC115224839,-,"msx2-interacting protein, transcript variant X3"
NC_043022.1,13289975,13289996,64.5,NC_043022.1,13289010,13290009,LOC115224839,-,"msx2-interacting protein, transcript variant X3"
NC_043022.1,13418869,13418883,21.0,NC_043022.1,13418021,13419020,LOC115224859,-,ceramide-1-phosphate transfer protein-like
NC_043022.1,13520134,13520160,39.0,NC_043022.1,13520069,13521068,LOC115224770,-,splicing factor 3B subunit 4
NC_043022.1,13536449,13536463,65.0,NC_043022.1,13536077,13537076,LOC115224744,+,"uncharacterized LOC115224744, transcript variant X6"
NC_043022.1,13698055,13698066,49.5,NC_043022.1,13697879,13698878,LOC115224816,+,ADP-ribosylation factor 3
NC_043022.1,13698157,13698173,24.0,NC_043022.1,13697879,13698878,LOC115224816,+,ADP-ribosylation factor 3
NC_043022.1,13698704,13698721,36.5,NC_043022.1,13697879,13698878,LOC115224816,+,ADP-ribosylation factor 3
NC_043022.1,13788214,13788229,22.5,NC_043022.1,13787438,13788437,LOC115224725,+,"5'-3' exoribonuclease 1, transcript variant X4"
NC_043022.1,13869129,13869147,38.0,NC_043022.1,13869082,13870081,LOC118768035,+,uncharacterized LOC118768035
NC_043022.1,13890407,13890426,28.5,NC_043022.1,13889659,13890658,LOC115224867,+,"paramyosin, transcript variant X1"
NC_043022.1,13935938,13935958,52.0,NC_043022.1,13935847,13936846,LOC115224900,+,uncharacterized LOC115224900
NC_043022.1,13936007,13936031,58.0,NC_043022.1,13935847,13936846,LOC115224900,+,uncharacterized LOC115224900
NC_043022.1,13936036,13936051,55.5,NC_043022.1,13935847,13936846,LOC115224900,+,uncharacterized LOC115224900
NC_043022.1,13936134,13936146,18.0,NC_043022.1,13935847,13936846,LOC115224900,+,uncharacterized LOC115224900
NC_043022.1,13936158,13936172,21.0,NC_043022.1,13935847,13936846,LOC115224900,+,uncharacterized LOC115224900
NC_043022.1,13936208,13936219,27.5,NC_043022.1,13935847,13936846,LOC115224900,+,uncharacterized LOC115224900
NC_043022.1,13936230,13936242,18.0,NC_043022.1,13935847,13936846,LOC115224900,+,uncharacterized LOC115224900
NC_043022.1,13936256,13936268,18.0,NC_043022.1,13935847,13936846,LOC115224900,+,uncharacterized LOC115224900
NC_043022.1,13936300,13936316,24.0,NC_043022.1,13935847,13936846,LOC115224900,+,uncharacterized LOC115224900
NC_043022.1,13936359,13936378,39.5,NC_043022.1,13935847,13936846,LOC115224900,+,uncharacterized LOC115224900
NC_043022.1,13936552,13936568,24.0,NC_043022.1,13935847,13936846,LOC115224900,+,uncharacterized LOC115224900
NC_043022.1,13936584,13936598,21.0,NC_043022.1,13935847,13936846,LOC115224900,+,uncharacterized LOC115224900
NC_043022.1,13936713,13936734,53.5,NC_043022.1,13935847,13936846,LOC115224900,+,uncharacterized LOC115224900
NC_043022.1,13936776,13936787,16.5,NC_043022.1,13935847,13936846,LOC115224900,+,uncharacterized LOC115224900
NC_043022.1,14000014,14000028,21.0,NC_043022.1,13999184,14000183,Trnas-uga,+,tRNA-Ser
NC_043022.1,14276188,14276199,16.5,NC_043022.1,14275474,14276473,LOC115224892,+,uncharacterized LOC115224892
NC_043022.1,14347007,14347018,60.5,NC_043022.1,14346324,14347323,LOC115224871,+,uncharacterized LOC115224871
NC_043022.1,14347292,14347303,38.5,NC_043022.1,14346324,14347323,LOC115224871,+,uncharacterized LOC115224871
NC_043022.1,14347318,14347338,30.0,NC_043022.1,14346324,14347323,LOC115224871,+,uncharacterized LOC115224871
NC_043022.1,14814077,14814092,44.5,NC_043022.1,14813465,14814464,LOC115224742,-,rootletin
NC_043022.1,14897372,14897387,22.5,NC_043022.1,14896886,14897885,LOC115224682,+,anoctamin-7
NC_043022.1,14897388,14897409,31.5,NC_043022.1,14896886,14897885,LOC115224682,+,anoctamin-7
NC_043022.1,15123961,15123983,99.0,NC_043022.1,15123941,15124940,LOC115224719,-,caspase-3-like
NC_043022.1,15128311,15128341,45.0,NC_043022.1,15128281,15129280,LOC115224718,-,caspase-3-like
NC_043022.1,15373694,15373708,21.0,NC_043022.1,15373468,15374467,LOC115224794,-,"protein kinase C iota type, transcript variant X7"
NC_043022.1,15373750,15373772,33.0,NC_043022.1,15373468,15374467,LOC115224794,-,"protein kinase C iota type, transcript variant X7"
NC_043022.1,15390019,15390031,40.0,NC_043022.1,15389512,15390511,LOC115224889,-,uncharacterized LOC115224889
NC_043022.1,15391880,15391891,38.5,NC_043022.1,15391646,15392645,LOC115224772,+,uncharacterized LOC115224772
NC_043022.1,15392359,15392371,18.0,NC_043022.1,15391646,15392645,LOC115224772,+,uncharacterized LOC115224772
NC_043022.1,15614985,15614999,21.0,NC_043022.1,15614926,15615925,LOC115224884,-,cilia- and flagella-associated protein 100-like
NC_043022.1,15615001,15615012,27.5,NC_043022.1,15614926,15615925,LOC115224884,-,cilia- and flagella-associated protein 100-like
NC_043022.1,15615023,15615039,24.0,NC_043022.1,15614926,15615925,LOC115224884,-,cilia- and flagella-associated protein 100-like
NC_043022.1,15615041,15615058,135.5,NC_043022.1,15614926,15615925,LOC115224884,-,cilia- and flagella-associated protein 100-like
NC_043022.1,15615728,15615743,22.5,NC_043022.1,15614926,15615925,LOC115224884,-,cilia- and flagella-associated protein 100-like
NC_043022.1,15657370,15657382,18.0,NC_043022.1,15657038,15658037,LOC115224796,-,target of rapamycin complex 2 subunit MAPKAP1-like
NC_043022.1,15657492,15657504,18.0,NC_043022.1,15657038,15658037,LOC115224796,-,target of rapamycin complex 2 subunit MAPKAP1-like
NC_043022.1,15657516,15657528,18.0,NC_043022.1,15657038,15658037,LOC115224796,-,target of rapamycin complex 2 subunit MAPKAP1-like
NC_043022.1,15767306,15767322,24.0,NC_043022.1,15767267,15768266,LOC118768004,-,uncharacterized LOC118768004
NC_043022.1,15767326,15767340,65.0,NC_043022.1,15767267,15768266,LOC118768004,-,uncharacterized LOC118768004
NC_043022.1,15767342,15767358,68.0,NC_043022.1,15767267,15768266,LOC118768004,-,uncharacterized LOC118768004
NC_043022.1,15785220,15785270,119.0,NC_043022.1,15785154,15786153,LOC118768006,-,uncharacterized LOC118768006
NC_043022.1,15785272,15785294,55.0,NC_043022.1,15785154,15786153,LOC118768006,-,uncharacterized LOC118768006
NC_043022.1,15785969,15785983,65.0,NC_043022.1,15785154,15786153,LOC118768006,-,uncharacterized LOC118768006
NC_043022.1,15828393,15828405,18.0,NC_043022.1,15828046,15829045,LOC115224749,+,"dual specificity protein kinase splB-like, transcript variant X1"
NC_043022.1,15828618,15828630,18.0,NC_043022.1,15828046,15829045,LOC115224749,+,"dual specificity protein kinase splB-like, transcript variant X1"
NC_043022.1,15995631,15995650,127.5,NC_043022.1,15994951,15995950,LOC115224819,-,"39S ribosomal protein L16, mitochondrial"
NC_043022.1,15995631,15995650,127.5,NC_043022.1,15995335,15996334,LOC115224898,+,"ciliogenesis and planar polarity effector 2, transcript variant X1"
NC_043022.1,15995996,15996009,41.5,NC_043022.1,15995335,15996334,LOC115224898,+,"ciliogenesis and planar polarity effector 2, transcript variant X1"
NC_043022.1,16858275,16858293,27.0,NC_043022.1,16857298,16858297,LOC118767973,+,uncharacterized LOC118767973
NC_043022.1,16976003,16976017,21.0,NC_043022.1,16975339,16976338,LOC115224901,+,"vigilin, transcript variant X3"
NC_043022.1,16976158,16976170,18.0,NC_043022.1,16975339,16976338,LOC115224901,+,"vigilin, transcript variant X3"
NC_043022.1,17105818,17105890,196.0,NC_043022.1,17105726,17106725,LOC115224847,-,inactive C-alpha-formylglycine-generating enzyme 2
NC_043022.1,17113479,17113493,21.0,NC_043022.1,17113361,17114360,LOC115224836,+,"cytochrome P450 3A24, transcript variant X2"
NC_043022.1,17114154,17114170,24.0,NC_043022.1,17113361,17114360,LOC115224836,+,"cytochrome P450 3A24, transcript variant X2"
NC_043022.1,17114260,17114274,21.0,NC_043022.1,17113361,17114360,LOC115224836,+,"cytochrome P450 3A24, transcript variant X2"
NC_043022.1,17210839,17210853,21.0,NC_043022.1,17210496,17211495,LOC118768009,+,"uncharacterized LOC118768009, transcript variant X2"
NC_043022.1,17211178,17211192,21.0,NC_043022.1,17210496,17211495,LOC118768009,+,"uncharacterized LOC118768009, transcript variant X2"
NC_043022.1,17266392,17266419,73.5,NC_043022.1,17266236,17267235,LOC115224853,-,protein FAM83G-like
NC_043022.1,17615987,17616005,27.0,NC_043022.1,17615872,17616871,LOC115224881,+,"proton-coupled amino acid transporter 1, transcript variant X2"
NC_043022.1,17667875,17667896,42.5,NC_043022.1,17667675,17668674,LOC118768040,+,uncharacterized LOC118768040
NC_043022.1,17709819,17709833,21.0,NC_043022.1,17708848,17709847,LOC115224736,+,"lysophospholipid acyltransferase 5, transcript variant X1"
NC_043022.1,17917127,17917147,30.0,NC_043022.1,17916478,17917477,LOC118768052,+,uncharacterized LOC118768052
